post_url,post_title,series_number,blog_date,blog_title,file_name,has_transcript
https://www.acquired.fm/episodes/costco,Costco,"Season 13, Episode 2","August 20, 2023",The Complete History & Strategy of Costco,costco,True
https://www.acquired.fm/episodes/generative-ai-in-video-and-the-future-of-storytelling-with-runway-ceo-cristobal-valenzuela,Generative AI in Video and the Future of Storytelling (with Runway CEO Cristobal Valenzuela),ACQ2 Episode,"August 29, 2023",Related Episodes,generative_ai_in_video_and_the_future_of_storytelling_with_runway_ceo_cristobal_valenzuela,True
https://www.acquired.fm/episodes/nvidia-the-dawn-of-the-ai-era,Nvidia Part III: The Dawn of the AI Era (2022-2023),"Season 13, Episode 3","September 5, 2023",The Complete History & Strategy of Nvidia: Part 3,nvidia_part_iii_the_dawn_of_the_ai_era_20222023,True
https://www.acquired.fm/episodes/doug-demuro-on-analyzing-the-car-industry-creator-led-businesses-and-porsche-episode-follow-up,"Doug Demuro on Analyzing the Car Industry, Creator-Led Businesses, and Porsche Episode Follow Up",ACQ2 Episode,"September 17, 2023",Related Episodes,doug_demuro_on_analyzing_the_car_industry_creatorled_businesses_and_porsche_episode_follow_up,True
https://www.acquired.fm/episodes/jensen-huang,NVIDIA CEO Jensen Huang,ACQ2 Episode,"October 15, 2023",Related Episodes,nvidia_ceo_jensen_huang,True
https://www.acquired.fm/episodes/charlie-munger,Charlie Munger,ACQ2 Episode,"October 29, 2023",Related Episodes,charlie_munger,True
https://www.acquired.fm/episodes/morgan-housel,Morgan Housel,ACQ2 Episode,"November 6, 2023",Related Episodes,morgan_housel,True
https://www.acquired.fm/episodes/visa,Visa,"Season 13, Episode 4","November 26, 2023",The Complete History & Strategy of Visa,visa,True
https://www.acquired.fm/episodes/visa-follow-up-and-todays-payments-ecosystem-with-gaurav-ahuja,Visa Follow-Up and Today’s Payments Ecosystem (with Gaurav Ahuja),ACQ2 Episode,"December 3, 2023",Related Episodes,visa_followup_and_todays_payments_ecosystem_with_gaurav_ahuja,False
https://www.acquired.fm/episodes/holiday-special-2023,Holiday Special 2023,"Season 13, Episode 5","December 17, 2023",Related Episodes,holiday_special_2023,True
https://www.acquired.fm/episodes/novo-nordisk-ozempic,Novo Nordisk (Ozempic),"Season 14, Episode 1","January 21, 2024",The Complete History & Strategy of Novo Nordisk,novo_nordisk_ozempic,True
https://www.acquired.fm/episodes/hermes,Hermès,"Season 14, Episode 2","February 19, 2024",The Complete History & Strategy of Hermès,herms,True
https://www.acquired.fm/episodes/the-scientific-journey-behind-ozempic-with-lotte-bjerre-knudsen-novo-nordisks-chief-scientific-advisor,"The Scientific Journey Behind Ozempic (with Lotte Bjerre Knudsen, Novo Nordisk's Chief Scientific Advisor)",ACQ2 Episode,"March 5, 2024",Related Episodes,the_scientific_journey_behind_ozempic_with_lotte_bjerre_knudsen_novo_nordisks_chief_scientific_advisor,True
https://www.acquired.fm/episodes/renaissance-technologies,Renaissance Technologies,"Season 14, Episode 3","March 17, 2024",The Complete History & Strategy of,renaissance_technologies,True
https://www.acquired.fm/episodes/microsoft,Microsoft,"Season 14, Episode 4","April 21, 2024",The Complete History & Strategy of,microsoft,True
https://www.acquired.fm/episodes/spotify-ceo-daniel-ek,Spotify CEO Daniel Ek,ACQ2 Episode,"May 17, 2023",Related Episodes,spotify_ceo_daniel_ek,True
https://www.acquired.fm/episodes/sessions-david-senra-founders-podcast,Sessions: David Senra (Founders Podcast),ACQ2 Episode,"March 28, 2023",Related Episodes,sessions_david_senra_founders_podcast,True
https://www.acquired.fm/episodes/interview-hamilton-helmer-chenyi-shi-on-how-to-build-an-aws-like-second-business,Interview: Hamilton Helmer & Chenyi Shi on How to Build an AWS-Like Second Business,ACQ2 Episode,"April 3, 2023",Related Episodes,interview_hamilton_helmer_chenyi_shi_on_how_to_build_an_awslike_second_business,True
https://www.acquired.fm/episodes/nintendo-the-console-wars,Nintendo: The Console Wars,"Season 12, Episode 4","April 11, 2023",The Complete History of Nintendo's Current Business Strategy,nintendo_the_console_wars,True
https://www.acquired.fm/episodes/retool-ceo-david-hsu-on-finding-product-market-fit-via-sales,Retool CEO David Hsu on Finding Product-Market Fit via Sales,ACQ2 Episode,"April 13, 2023",Related Episodes,retool_ceo_david_hsu_on_finding_productmarket_fit_via_sales,True
https://www.acquired.fm/episodes/short-the-death-of-sega,Short: The Death of Sega,ACQ2 Episode,"April 17, 2023",The Complete History & Strategy of Sega,short_the_death_of_sega,True
https://www.acquired.fm/episodes/angellist-ceo-avlok-kohli-on-the-transforming-the-company-and-venture-itself,AngelList CEO Avlok Kohli on the Transforming the Company — and Venture Itself,ACQ2 Episode,"April 19, 2023",Related Episodes,angellist_ceo_avlok_kohli_on_the_transforming_the_company_and_venture_itself,True
https://www.acquired.fm/episodes/benchmarks-mitch-lasky-and-blake-robbins-on-the-art-of-business-in-gaming,Benchmark’s Mitch Lasky and Blake Robbins on The Art of Business in Gaming,ACQ2 Episode,"April 25, 2023",Related Episodes,benchmarks_mitch_lasky_and_blake_robbins_on_the_art_of_business_in_gaming,True
https://www.acquired.fm/episodes/generative-ai-moats-in-b2b-with-emergence-capitals-jake-saper,Generative AI Moats in B2B with Emergence Capital’s Jake Saper,ACQ2 Episode,"May 8, 2023",Related Episodes,generative_ai_moats_in_b2b_with_emergence_capitals_jake_saper,True
https://www.acquired.fm/episodes/lockheed-martin,Lockheed Martin,"Season 12, Episode 5","May 29, 2023","The Complete Story of Lockheed Martin, Skunkworks, and the US's Top Secret 1960's Satellite Program",lockheed_martin,True
https://www.acquired.fm/episodes/uber-ceo-dara-khosrowshahi,Uber CEO Dara Khosrowshahi,ACQ2 Episode,"June 12, 2023",Related Episodes,uber_ceo_dara_khosrowshahi,True
https://www.acquired.fm/episodes/comparing-the-dotcom-crash-to-today-with-tom-cowan-from-tdm,Comparing the Dotcom Crash to Today (with Tom Cowan from TDM),ACQ2 Episode,"June 19, 2023",Related Episodes,comparing_the_dotcom_crash_to_today_with_tom_cowan_from_tdm,True
https://www.acquired.fm/episodes/porsche-with-doug-demuro,Porsche (with Doug DeMuro),"Season 12, Episode 6","June 26, 2023",The Complete History & Strategy of Porsche,porsche_with_doug_demuro,True
https://www.acquired.fm/episodes/nike,Nike,"Season 13, Episode 1","July 24, 2023",The Complete History & Strategy of Nike,nike,True
https://www.acquired.fm/episodes/saving-the-planet-with-better-ai-data-centers-with-crusoe-ceo-chase-lochmiller,Saving the Planet with Better AI Data Centers (with Crusoe CEO Chase Lochmiller),ACQ2 Episode,"August 14, 2023",Related Episodes,saving_the_planet_with_better_ai_data_centers_with_crusoe_ceo_chase_lochmiller,True
https://www.acquired.fm/episodes/benchmark-part-ii-the-dinner,Benchmark Part II: The Dinner,"Season 11, Episode 5","October 17, 2022",Related Episodes,benchmark_part_ii_the_dinner,True
https://www.acquired.fm/episodes/the-profitable-b2b-growth-playbook-and-mutinys-story,The Profitable B2B Growth Playbook and Mutiny’s Story,ACQ2 Episode,"October 23, 2022",Related Episodes,the_profitable_b2b_growth_playbook_and_mutinys_story,True
https://www.acquired.fm/episodes/consumer-investing-in-2022-with-brian-omalley-of-forerunner-ventures,Consumer Investing in 2022 (with Brian O'Malley of Forerunner Ventures),ACQ2 Episode,"October 31, 2022",Related Episodes,consumer_investing_in_2022_with_brian_omalley_of_forerunner_ventures,True
https://www.acquired.fm/episodes/netflixs-journey-building-tcv-and-investing-through-downturns-with-tcv-co-founder-jay-hoag,"Netflix's Journey, Building TCV, and Investing Through Downturns (with TCV co-founder Jay Hoag)",ACQ2 Episode,"November 10, 2022",Related Episodes,netflixs_journey_building_tcv_and_investing_through_downturns_with_tcv_cofounder_jay_hoag,True
